0.075436s;I2C, W, Address, 0xd4, Ack,,,
0.075596s;I2C, W, Data, 0x25, Ack,,,
0.075801s;I2C, Repeat start,,,,,,
0.075813s;I2C, R, Address, 0xd5, Ack,,,
0.075979s;I2C, R, Data, 0x00, Nack,,,
0.076130s;I2C, Stop,,,,,,
0.076153s;I2C, Start,,,,,,
0.076165s;I2C, W, Address, 0xd4, Ack,,,
0.076325s;I2C, W, Data, 0x26, Ack,,,
0.076538s;I2C, Repeat start,,,,,,
0.076552s;I2C, R, Address, 0xd5, Ack,,,
0.076714s;I2C, R, Data, 0x34, Nack,,,
0.076870s;I2C, Stop,,,,,,
0.076892s;I2C, Start,,,,,,
0.076904s;I2C, W, Address, 0xd4, Ack,,,
0.077064s;I2C, W, Data, 0x27, Ack,,,
0.077273s;I2C, Repeat start,,,,,,
0.077285s;I2C, R, Address, 0xd5, Ack,,,
0.077449s;I2C, R, Data, 0xff, Nack,,,
0.077605s;I2C, Stop,,,,,,
0.077761s;I2C, Start,,,,,,
0.077773s;I2C, W, Address, 0x3c, Ack,,,
0.077933s;I2C, W, Data, 0x68, Ack,,,
0.078137s;I2C, Repeat start,,,,,,
0.078150s;I2C, R, Address, 0x3d, Ack,,,
0.078318s;I2C, R, Data, 0x1a, Nack,,,
0.078473s;I2C, Stop,,,,,,
0.078502s;I2C, Start,,,,,,
0.078516s;I2C, W, Address, 0x3c, Ack,,,
0.078674s;I2C, W, Data, 0x69, Ack,,,
0.078881s;I2C, Repeat start,,,,,,
0.078893s;I2C, R, Address, 0x3d, Ack,,,
0.079053s;I2C, R, Data, 0x00, Nack,,,
0.079215s;I2C, Stop,,,,,,
0.079239s;I2C, Start,,,,,,
0.079251s;I2C, W, Address, 0x3c, Ack,,,
0.079411s;I2C, W, Data, 0x6a, Ack,,,
0.079616s;I2C, Repeat start,,,,,,
0.079628s;I2C, R, Address, 0x3d, Ack,,,
0.079794s;I2C, R, Data, 0x34, Nack,,,
0.079946s;I2C, Stop,,,,,,
0.079968s;I2C, Start,,,,,,
0.079981s;I2C, W, Address, 0x3c, Ack,,,
0.080140s;I2C, W, Data, 0x6b, Ack,,,
0.080343s;I2C, Repeat start,,,,,,
0.080355s;I2C, R, Address, 0x3d, Ack,,,
0.080525s;I2C, R, Data, 0x00, Nack,,,
0.080681s;I2C, Stop,,,,,,
0.080703s;I2C, Start,,,,,,
0.080716s;I2C, W, Address, 0x3c, Ack,,,
0.080876s;I2C, W, Data, 0x6c, Ack,,,
0.081082s;I2C, Repeat start,,,,,,
0.081095s;I2C, R, Address, 0x3d, Ack,,,
0.081275s;I2C, R, Data, 0x1c, Nack,,,
0.081428s;I2C, Stop,,,,,,
0.081451s;I2C, Start,,,,,,
0.081463s;I2C, W, Address, 0x3c, Ack,,,
0.081623s;I2C, W, Data, 0x6d, Ack,,,
0.081830s;I2C, Repeat start,,,,,,
0.081842s;I2C, R, Address, 0x3d, Ack,,,
0.082008s;I2C, R, Data, 0xfe, Nack,,,
0.082162s;I2C, Stop,,,,,,
0.101173s;I2C, Start,,,,,,
0.101186s;I2C, W, Address, 0xd4, Ack,,,
0.101345s;I2C, W, Data, 0x1e, Ack,,,
0.101552s;I2C, Repeat start,,,,,,
0.101564s;I2C, R, Address, 0xd5, Ack,,,
0.101728s;I2C, R, Data, 0x07, Nack,,,
0.101882s;I2C, Stop,,,,,,
0.101906s;I2C, Start,,,,,,
0.101919s;I2C, W, Address, 0xd4, Ack,,,
0.102076s;I2C, W, Data, 0x28, Ack,,,
0.102296s;I2C, Repeat start,,,,,,
0.102308s;I2C, R, Address, 0xd5, Ack,,,
0.102478s;I2C, R, Data, 0x85, Nack,,,
0.102633s;I2C, Stop,,,,,,
0.102656s;I2C, Start,,,,,,
0.102668s;I2C, W, Address, 0xd4, Ack,,,
0.102828s;I2C, W, Data, 0x29, Ack,,,
0.103035s;I2C, Repeat start,,,,,,
0.103047s;I2C, R, Address, 0xd5, Ack,,,
0.103217s;I2C, R, Data, 0x01, Nack,,,
0.103371s;I2C, Stop,,,,,,
0.103393s;I2C, Start,,,,,,
0.103406s;I2C, W, Address, 0xd4, Ack,,,
0.103565s;I2C, W, Data, 0x2a, Ack,,,
0.103772s;I2C, Repeat start,,,,,,
0.103784s;I2C, R, Address, 0xd5, Ack,,,
0.103946s;I2C, R, Data, 0x7e, Nack,,,
0.104102s;I2C, Stop,,,,,,
0.104124s;I2C, Start,,,,,,
0.104137s;I2C, W, Address, 0xd4, Ack,,,
0.104294s;I2C, W, Data, 0x2b, Ack,,,
0.104520s;I2C, Repeat start,,,,,,
0.104532s;I2C, R, Address, 0xd5, Ack,,,
0.104698s;I2C, R, Data, 0x00, Nack,,,
0.104851s;I2C, Stop,,,,,,
0.104874s;I2C, Start,,,,,,
0.104886s;I2C, W, Address, 0xd4, Ack,,,
0.105046s;I2C, W, Data, 0x2c, Ack,,,
0.105263s;I2C, Repeat start,,,,,,
0.105275s;I2C, R, Address, 0xd5, Ack,,,
0.105439s;I2C, R, Data, 0x58, Nack,,,
0.105593s;I2C, Stop,,,,,,
0.105615s;I2C, Start,,,,,,
0.105628s;I2C, W, Address, 0xd4, Ack,,,
0.105787s;I2C, W, Data, 0x2d, Ack,,,
0.105994s;I2C, Repeat start,,,,,,
0.106007s;I2C, R, Address, 0xd5, Ack,,,
0.106170s;I2C, R, Data, 0x41, Nack,,,
0.106326s;I2C, Stop,,,,,,
0.106349s;I2C, Start,,,,,,
0.106361s;I2C, W, Address, 0xd4, Ack,,,
0.106527s;I2C, W, Data, 0x1e, Ack,,,
0.106734s;I2C, Repeat start,,,,,,
0.106746s;I2C, R, Address, 0xd5, Ack,,,
